Transient Magnitude(V), Pulse Width(s)
0.11256099482462001, 6.174161291761995e-07
0.0984458950059599, 3.645980336192944e-07
0.10495040767563002, 4.3681958269880036e-07
0.056505102716950084, 4.1419277761789756e-07
0.11193081932439997, 4.663461925547989e-07
0.11391061310238992, 5.919104006285974e-07
0.11500897307326996, 1.2071346827078003e-06
0.1311045951879899, 8.755388715861006e-07
0.10784262971243996, 7.029697745664987e-07
0.08861021221808008, 3.362895066518989e-07
